id,required,filename
1,no,
2,yes,file.sh
3,yes,script.py
4,yes,program.rb
5,yes,app.js
6,yes,application.jar
7,yes,file.sh
8,yes,file.sh
9,no,
10,yes,script.fish
11,yes,script.pl
12,yes,script.php
13,yes,script.sh
14,yes,script.zsh
15,no,
16,yes,file.sh
17,yes,script.py
18,yes,program.rb
19,yes,app.js
20,yes,application.jar
21,yes,file.sh
22,yes,file.sh
23,no,
24,yes,script.fish
25,yes,script.pl
26,yes,script.php
27,yes,script.sh
28,yes,script.zsh
29,yes,file.txt
30,yes,input.txt
31,yes,file.sh
31,yes,input.txt
32,yes,script.py
32,yes,input.txt
33,yes,program.rb
33,yes,input.txt
34,yes,app.js
34,yes,input.txt
35,yes,application.jar
35,yes,input.txt
36,no,
