id,required,filename
1,yes,file.txt
2,yes,file.txt
3,yes,file.txt
4,yes,new_file.txt
5,yes,file.txt
6,yes,file.txt
7,yes,file.txt
8,yes,new_file.txt
9,yes,new_file.txt
10,yes,file.txt
11,yes,file.txt
12,yes,file.txt
13,yes,file.txt
14,yes,merged_file.txt
15,yes,file.txt
16,yes,file.txt
17,yes,file.txt
18,yes,archive.tar.gz
19,yes,archive.zip
20,yes,file.txt.gz
21,yes,file.txt
22,yes,file.txt
23,yes,file.txt
24,yes,new_file.txt
25,yes,file.txt
26,yes,file.txt
27,yes,file.txt
28,yes,file.txt
29,yes,merged_file.txt
30,yes,file.txt
31,yes,file.txt
32,yes,archive.zip
33,yes,file.txt.gz
34,yes,file.txt.bz2
35,yes,file.txt.xz
36,yes,archive.7z
37,yes,file.txt
38,yes,file.b64
39,yes,file.txt
40,yes,file.key
41,yes,file.iv
42,yes,file.md5
43,yes,file.sha256
44,yes,new_file.txt
45,yes,file.txt
46,yes,file.txt
47,yes,file.txt
