id,required,filename
1,yes,echo
2,yes,printf
3,yes,touch
4,yes,cp
5,yes,truncate
6,yes,echo
7,yes,printf
8,yes,cp
9,yes,mv
10,yes,touch
11,yes,truncate
12,yes,dd
13,yes,fallocate
14,yes,cat
15,yes,tee
16,yes,sed
17,yes,awk
18,yes,tar
19,yes,zip
20,yes,gzip
21,yes,echo
22,yes,printf
23,yes,cat
24,yes,mv
25,yes,touch
26,yes,truncate
27,yes,dd
28,yes,fallocate
29,yes,cat
30,yes,sed
31,yes,awk
32,yes,zip
33,yes,gzip
34,yes,bzip2
35,yes,xz
36,yes,7z
37,yes,xxd
38,yes,base64
39,yes,base64
40,yes,openssl
41,yes,openssl
42,yes,md5sum
43,yes,sha256sum
44,yes,cat
45,yes,printf
46,yes,sed
47,yes,cat
