id,perm,required,filename
1,r,yes,file.txt
2,r,yes,file.txt
3,r,yes,file.txt
4,r,yes,file.txt
5,r,yes,file.txt
6,r,yes,file.txt
7,r,yes,file.txt
8,r,yes,file.txt
9,r,yes,file.txt
10,r,yes,file.txt
11,r,yes,file.txt
12,r,yes,file.txt
13,r,yes,file.txt
14,r,yes,file1.txt
14,r,yes,file2.txt
15,r,yes,file.txt
16,r,yes,file.txt
17,r,yes,file.txt
18,r,yes,file.txt
19,r,yes,file.txt
20,r,yes,file.txt
21,r,yes,file.txt
22,r,yes,file.txt
23,r,yes,file.txt
24,r,yes,file.txt
25,r,yes,file.txt
26,r,yes,file.txt
27,r,yes,file1.txt
27,r,yes,file2.txt
28,r,yes,file1.txt
28,r,yes,file2.txt
29,r,yes,file1.txt
29,r,yes,file2.txt
30,r,yes,file.txt
31,r,yes,file.list
32,r,yes,file.txt
33,r,yes,file.txt
34,r,yes,file.txt
35,r,yes,file.txt
