id,perm,required,filename
1,r,yes,script.sh
2,r,yes,file.sh
3,r,yes,script.py
4,r,yes,program.rb
5,r,yes,app.sh
6,r,no,
7,r,no,
8,r,yes,file.sh
9,r,yes,file.sh
10,r,yes,script.fish
11,r,yes,script.pl
12,r,yes,script.php
13,r,yes,script.sh
14,r,yes,script.zsh
15,r,yes,arg1
15,r,yes,arg2
15,r,yes,./script.sh
16,r,no,
17,r,yes,script.py
17,r,yes,arg1
17,r,yes,arg2
18,r,yes,arg1
18,r,yes,arg2
18,r,yes,program.rb
19,r,yes,app.sh
19,r,yes,arg1
19,r,yes,arg2
20,r,yes,application.jar
21,r,yes,file.sh
22,r,yes,file.sh
23,r,yes,file.sh
23,r,yes,arg1
23,r,yes,arg2
24,r,yes,arg1
24,r,yes,arg2
24,r,yes,/etc/fish/conf/config. Fish
24,r,yes,/etc/fish/functions/function. Fish
24,r,yes,/etc/fish/system. Fish
25,r,yes,script.pl
25,r,yes,arg1
25,r,yes,arg2
26,r,no,
27,r,no,
28,r,yes,arg1
28,r,yes,arg2
28,r,yes,/etc/passwd
28,r,yes,/proc/self/cwd
28,r,yes,/dev/stdin
28,r,yes,/dev/stdout
28,r,yes,/dev/stderr
29,r,yes,file.txt
30,r,yes,input.txt
31,r,yes,input.txt
32,r,yes,input.txt
32,r,yes,script.py
33,r,yes,input.txt
33,r,yes,program.rb
34,r,yes,input.txt
34,r,yes,app.js
35,r,yes,input.txt
36,r,yes,file.sh
36,r,yes,output.txt
