id,perm,required,filename
1,r,no,
2,r,yes,file.sh
3,r,no,
4,r,yes,program.sh
5,r,yes,app.js
6,r,no,
7,r,no,
8,r,no,
9,r,no,
10,r,yes,script.fish
11,r,yes,script.pl
12,r,no,
13,r,yes,script.sh
14,r,yes,script.zsh
15,r,no,
16,r,no,
17,r,no,
18,r,no,
19,r,no,
20,r,no,
21,r,no,
22,r,no,
23,r,no,
24,r,no,
25,r,no,
26,r,no,
27,r,no,
28,r,yes,arg1
28,r,yes,arg2
29,r,yes,file.txt
30,r,yes,input.txt
30,r,yes,file.sh
31,r,yes,input.txt
31,r,yes,file.sh
32,r,yes,input.txt
32,r,yes,script.py
33,r,yes,input.txt
33,r,yes,program.rb
34,r,yes,input.txt
34,r,yes,app.js
35,r,yes,input.txt
36,r,yes,file.sh
