id,perm,required,filename
1,x,yes,sh
1,x,yes,./script.sh
2,x,yes,bash
3,x,yes,python
4,x,yes,ruby
4,x,yes,program.rb
5,x,yes,node
6,x,yes,java
6,x,yes,application.jar
7,x,yes,exec
7,x,yes,sh
8,x,yes,source
8,x,yes,sh
9,x,yes,sh
9,x,yes,echo
10,x,yes,fish
11,x,yes,perl
12,x,yes,php
13,x,yes,bash
14,x,yes,zsh
15,x,yes,./script.sh
16,x,yes,bash
16,x,yes,file.sh
17,x,yes,python
17,x,yes,script.py
18,x,yes,ruby
18,x,yes,program.rb
19,x,yes,node
19,x,yes,app.js
20,x,yes,java
20,x,yes,application.jar
21,x,yes,exec
21,x,yes,file.sh
22,x,yes,source
22,x,yes,file.sh
23,x,yes,./file.sh
24,x,yes,fish
25,x,yes,perl
25,x,yes,script.pl
26,x,yes,php
26,x,yes,script.php
27,x,yes,sh
27,x,yes,script.sh
28,x,yes,zsh
29,x,yes,xdg-open
30,x,yes,sh
31,x,yes,bash
32,x,yes,python
33,x,yes,ruby
34,x,yes,node
35,x,yes,java
35,x,yes,application.jar
36,x,yes,.
