id,perm,required,filename
1,r,no,
2,r,no,
3,r,no,
4,r,no,
5,r,no,
6,r,no,
7,r,no,
8,r,no,
9,r,no,
10,r,no,
11,r,no,
12,r,no,
13,r,no,
14,r,yes,file1.txt
14,r,yes,file2.txt
15,r,no,
16,r,yes,file.txt
17,r,yes,input_file.txt
18,r,no,
19,r,no,
20,r,no,
21,r,no,
22,r,no,
23,r,no,
24,r,no,
25,r,no,
26,r,no,
27,r,no,
28,r,no,
29,r,yes,file1.txt
29,r,yes,file2.txt
29,r,yes,file3.txt
29,r,yes,merged_file.txt
30,r,yes,file.txt
31,r,yes,input_file.txt
32,r,no,
33,r,yes,file.txt
34,r,no,
35,r,no,
36,r,no,
37,r,yes,file.hex
38,r,yes,file.txt
39,r,no,
40,r,no,
41,r,no,
42,r,yes,file.txt
43,r,yes,file.txt
44,r,yes,file.txt
45,r,no,
46,r,yes,input_file.txt
47,r,yes,input_file.txt
