id,perm,required,filename
1,w,yes,output.txt
2,w,yes,input.txt
3,w,no,
4,w,yes,output.txt
5,w,yes,app.js
6,w,no,
7,w,no,
8,w,yes,file.sh
9,w,yes,file.sh
10,w,yes,config.txt
11,w,yes,script.pl
12,w,yes,script.php
13,w,yes,input.txt
14,w,yes,input.txt
15,w,yes,output.txt
16,w,yes,output.txt
17,w,no,
18,w,yes,program.rb
19,w,yes,app.js
20,w,no,
21,w,no,
22,w,yes,file.sh
23,w,yes,file.sh
24,w,yes,script.fish
25,w,no,
26,w,yes,script.php
27,w,yes,script.sh
28,w,yes,arg1
28,w,yes,arg2
29,w,yes,file.txt
30,w,no,
31,w,no,
32,w,no,
33,w,no,
34,w,no,
35,w,no,
36,w,yes,output.txt
