id,perm,required,filename
1,x,yes,echo
2,x,yes,sh
2,x,yes,printf
3,x,no,
4,x,yes,cp
5,x,yes,truncate
6,x,yes,echo
7,x,yes,printf
7,x,yes,>>
8,x,yes,cp
9,x,no,
10,x,no,
11,x,yes,truncate
12,x,yes,dd
13,x,yes,fallocate
14,x,no,
15,x,yes,tee
16,x,yes,sed
17,x,no,
18,x,yes,tar
19,x,yes,zip
20,x,yes,gzip
21,x,yes,echo
22,x,no,
23,x,yes,cat
24,x,no,
25,x,no,
26,x,yes,truncate
27,x,yes,dd
28,x,yes,fallocate
29,x,no,
30,x,yes,sed
31,x,no,
32,x,yes,zip
33,x,yes,gzip
34,x,yes,bzip2
35,x,yes,xz
36,x,yes,7z
37,x,yes,xxd
38,x,yes,base64
39,x,yes,base64
40,x,yes,openssl
41,x,yes,openssl
42,x,yes,md5sum
43,x,yes,sha256sum
44,x,no,
45,x,no,
46,x,yes,sed
47,x,no,
