id,perm,required,filename
1,x,yes,grep
1,x,yes,awk
2,x,yes,grep
2,x,yes,awk
3,x,yes,script.py
4,x,yes,ruby
5,x,yes,node
6,x,yes,application.jar
7,x,yes,file.sh
8,x,yes,source
9,x,yes,grep
9,x,yes,awk
10,x,yes,grep
10,x,yes,sed
11,x,yes,perl
12,x,yes,php
13,x,yes,grep
13,x,yes,sed
14,x,yes,grep
14,x,yes,sed
15,x,yes,grep
15,x,yes,sed
16,x,yes,file.sh
17,x,yes,script.py
18,x,yes,ruby
19,x,yes,node
20,x,yes,application.jar
21,x,yes,file.sh
22,x,yes,source
23,x,yes,sh
24,x,yes,fish
25,x,yes,script.pl
26,x,yes,php
27,x,yes,sh
28,x,yes,zsh
29,x,yes,xdg-open
30,x,no,
31,x,no,
32,x,yes,python
33,x,yes,ruby
34,x,yes,app.js
35,x,yes,java
35,x,yes,application.jar
36,x,yes,sh
