id,perm,required,filename
1,w,yes,file.txt
2,w,yes,file.txt
3,w,yes,file.txt
4,w,yes,new_file.txt
5,w,yes,file.txt
6,w,yes,file.txt
7,w,yes,file.txt
8,w,yes,new_file.txt
9,w,yes,new_file.txt
10,w,yes,file.txt
11,w,yes,file.txt
12,w,yes,file.txt
13,w,yes,file.txt
14,w,yes,merged_file.txt
15,w,yes,file.txt
16,w,yes,file.txt
17,w,yes,file.txt
18,w,yes,archive.tar.gz
19,w,yes,archive.zip
20,w,yes,file.txt.gz
21,w,yes,file.txt
22,w,yes,file.txt
23,w,yes,file.txt
24,w,yes,new_file.txt
25,w,yes,file.txt
26,w,yes,file.txt
27,w,yes,file.txt
28,w,yes,file.txt
29,w,yes,merged_file.txt
30,w,yes,file.txt
31,w,yes,file.tex
32,w,yes,archive.zip
33,w,yes,file.txt.gz
34,w,yes,file.txt.bz2
35,w,yes,file.txt.xz
36,w,yes,archive.7z
37,w,yes,file.txt
38,w,yes,file.b64
39,w,yes,file.txt
40,w,yes,file.key
41,w,yes,file.iv
42,w,yes,file.md5
43,w,yes,file.sha256
44,w,yes,new_file.txt
45,w,yes,file.txt
46,w,yes,file.txt
47,w,yes,file.txt
