id,perm,required,filename
1,x,yes,cat
2,x,yes,head
3,x,yes,tail
4,x,yes,less
5,x,yes,wc
6,x,yes,od
7,x,yes,grep
8,x,yes,sed
9,x,yes,cut
10,x,yes,tr
11,x,yes,sort
12,x,yes,uniq
13,x,yes,sh
13,x,yes,file
14,x,yes,diff
15,x,yes,tail
16,x,yes,tail
17,x,yes,head
18,x,yes,cat
19,x,yes,strings
20,x,yes,hexdump
21,x,yes,xxd
22,x,yes,fold
23,x,yes,expand
24,x,yes,une Expand
25,x,yes,tr
26,x,yes,col
27,x,yes,paste
28,x,yes,join
29,x,yes,comm
30,x,yes,grep
31,x,yes,xargs
31,x,yes,cat
32,x,yes,sed
33,x,yes,tr
34,x,yes,nl
35,x,yes,more
