id,perm,required,filename
1,x,yes,bash
1,x,yes,./script.sh
2,x,yes,bash
2,x,yes,file.sh
3,x,yes,python
4,x,yes,ruby
5,x,yes,node
6,x,yes,java
6,x,yes,application.jar
7,x,yes,exec
7,x,yes,file.sh
8,x,yes,source
9,x,yes,sh
9,x,yes,.
10,x,yes,fish
11,x,yes,perl
12,x,yes,php
13,x,yes,bash
13,x,yes,script.sh
14,x,yes,zsh
14,x,yes,script.zsh
15,x,yes,bash
15,x,yes,./script.sh
16,x,yes,bash
16,x,yes,file.sh
17,x,yes,python
18,x,yes,ruby
19,x,yes,node
19,x,yes,app.js
20,x,yes,java
20,x,yes,jar
21,x,yes,exec
21,x,yes,file.sh
22,x,yes,source
23,x,yes,sh
23,x,yes,./file.sh
24,x,yes,fish
25,x,yes,perl
26,x,yes,php
27,x,yes,sh
28,x,yes,zsh
28,x,yes,script.zsh
29,x,yes,xdg-open
30,x,yes,sh
30,x,yes,cat
31,x,yes,bash
31,x,yes,file.sh
32,x,yes,python
33,x,yes,ruby
34,x,yes,node
35,x,yes,java
35,x,yes,jar
36,x,yes,sh
36,x,yes,>&
